bank_seed_id,source_id,measurement_name,family,source,definition_or_description,input_requirements,units,implementation_status,implementation_module,formula_version,validation_status,computational_cost,availability,calculation_policy,temporal_scope,analytical_role,decision_eligibility,objectivity,calibration_state,bank_note
DCL-SEED-0001,E08-IMP-0001,return_close,PRICE_RETURN,LEGACY_ENGINE08,"Price, return, gap, or price-location measurement",OHLCV,ratio,IMPLEMENTED,src/indicators.py,0.1,SMOKE_TESTED,LOW_TO_MEDIUM,AVAILABLE_NOW,BASELINE,CONTEMPORANEOUS,CONTEMPORANEOUS_FACT,INPUT_ELIGIBLE,OBJECTIVE_DETERMINISTIC,CALIBRATION_ACTIVE,Keep as a deterministic Data-Intake measurement with governed formula/version and provenance.
DCL-SEED-0002,E08-IMP-0002,return_log,PRICE_RETURN,LEGACY_ENGINE08,"Price, return, gap, or price-location measurement",OHLCV,ratio,IMPLEMENTED,src/indicators.py,0.1,SMOKE_TESTED,LOW_TO_MEDIUM,AVAILABLE_NOW,BASELINE,CONTEMPORANEOUS,CONTEMPORANEOUS_FACT,INPUT_ELIGIBLE,OBJECTIVE_DETERMINISTIC,CALIBRATION_ACTIVE,Keep as a deterministic Data-Intake measurement with governed formula/version and provenance.
DCL-SEED-0003,E08-IMP-0003,return_intraday,PRICE_RETURN,LEGACY_ENGINE08,"Price, return, gap, or price-location measurement",OHLCV,ratio,IMPLEMENTED,src/indicators.py,0.1,SMOKE_TESTED,LOW_TO_MEDIUM,AVAILABLE_NOW,BASELINE,CONTEMPORANEOUS,CONTEMPORANEOUS_FACT,INPUT_ELIGIBLE,OBJECTIVE_DETERMINISTIC,CALIBRATION_ACTIVE,Keep as a deterministic Data-Intake measurement with governed formula/version and provenance.
DCL-SEED-0004,E08-IMP-0004,return_overnight,PRICE_RETURN,LEGACY_ENGINE08,"Price, return, gap, or price-location measurement",OHLCV,ratio,IMPLEMENTED,src/indicators.py,0.1,SMOKE_TESTED,LOW_TO_MEDIUM,AVAILABLE_NOW,BASELINE,CONTEMPORANEOUS,CONTEMPORANEOUS_FACT,INPUT_ELIGIBLE,OBJECTIVE_DETERMINISTIC,CALIBRATION_ACTIVE,Keep as a deterministic Data-Intake measurement with governed formula/version and provenance.
DCL-SEED-0005,E08-IMP-0005,gap_pct,PRICE_RETURN,LEGACY_ENGINE08,"Price, return, gap, or price-location measurement",OHLCV,ratio,IMPLEMENTED,src/indicators.py,0.1,SMOKE_TESTED,LOW_TO_MEDIUM,AVAILABLE_NOW,BASELINE,CONTEMPORANEOUS,CONTEMPORANEOUS_FACT,INPUT_ELIGIBLE,OBJECTIVE_DETERMINISTIC,CALIBRATION_ACTIVE,Keep as a deterministic Data-Intake measurement with governed formula/version and provenance.
DCL-SEED-0006,E08-IMP-0006,bar_range,CANDLE_GEOMETRY,LEGACY_ENGINE08,Single-bar or adjacent-bar geometric measurement,OHLCV,price_or_price_derived,IMPLEMENTED,src/indicators.py,0.1,SMOKE_TESTED,LOW_TO_MEDIUM,AVAILABLE_NOW,BASELINE,CONTEMPORANEOUS,CONTEMPORANEOUS_FACT,INPUT_ELIGIBLE,OBJECTIVE_DETERMINISTIC,CALIBRATION_ACTIVE,Keep as a deterministic Data-Intake measurement with governed formula/version and provenance.
DCL-SEED-0007,E08-IMP-0007,bar_range_pct,CANDLE_GEOMETRY,LEGACY_ENGINE08,Single-bar or adjacent-bar geometric measurement,OHLCV,ratio,IMPLEMENTED,src/indicators.py,0.1,SMOKE_TESTED,LOW_TO_MEDIUM,AVAILABLE_NOW,BASELINE,CONTEMPORANEOUS,CONTEMPORANEOUS_FACT,INPUT_ELIGIBLE,OBJECTIVE_DETERMINISTIC,CALIBRATION_ACTIVE,Keep as a deterministic Data-Intake measurement with governed formula/version and provenance.
DCL-SEED-0008,E08-IMP-0008,body,CANDLE_GEOMETRY,LEGACY_ENGINE08,Single-bar or adjacent-bar geometric measurement,OHLCV,price_or_price_derived,IMPLEMENTED,src/indicators.py,0.1,SMOKE_TESTED,LOW_TO_MEDIUM,AVAILABLE_NOW,BASELINE,CONTEMPORANEOUS,CONTEMPORANEOUS_FACT,INPUT_ELIGIBLE,OBJECTIVE_DETERMINISTIC,CALIBRATION_ACTIVE,Keep as a deterministic Data-Intake measurement with governed formula/version and provenance.
DCL-SEED-0009,E08-IMP-0009,body_abs,CANDLE_GEOMETRY,LEGACY_ENGINE08,Single-bar or adjacent-bar geometric measurement,OHLCV,price_or_price_derived,IMPLEMENTED,src/indicators.py,0.1,SMOKE_TESTED,LOW_TO_MEDIUM,AVAILABLE_NOW,BASELINE,CONTEMPORANEOUS,CONTEMPORANEOUS_FACT,INPUT_ELIGIBLE,OBJECTIVE_DETERMINISTIC,CALIBRATION_ACTIVE,Keep as a deterministic Data-Intake measurement with governed formula/version and provenance.
DCL-SEED-0010,E08-IMP-0010,body_pct,CANDLE_GEOMETRY,LEGACY_ENGINE08,Single-bar or adjacent-bar geometric measurement,OHLCV,ratio,IMPLEMENTED,src/indicators.py,0.1,SMOKE_TESTED,LOW_TO_MEDIUM,AVAILABLE_NOW,BASELINE,CONTEMPORANEOUS,CONTEMPORANEOUS_FACT,INPUT_ELIGIBLE,OBJECTIVE_DETERMINISTIC,CALIBRATION_ACTIVE,Keep as a deterministic Data-Intake measurement with governed formula/version and provenance.
DCL-SEED-0011,E08-IMP-0011,upper_wick,CANDLE_GEOMETRY,LEGACY_ENGINE08,Single-bar or adjacent-bar geometric measurement,OHLCV,price_or_price_derived,IMPLEMENTED,src/indicators.py,0.1,SMOKE_TESTED,LOW_TO_MEDIUM,AVAILABLE_NOW,BASELINE,CONTEMPORANEOUS,CONTEMPORANEOUS_FACT,INPUT_ELIGIBLE,OBJECTIVE_DETERMINISTIC,CALIBRATION_ACTIVE,Keep as a deterministic Data-Intake measurement with governed formula/version and provenance.
